ZipCode,Latitude,Longitude
00938,18.41061,-66.06295
00939,18.40829,-66.06467
00940,18.41089,-66.06509
00949,18.4522,-66.17834
00950,18.44875,-66.17254
00951,18.44314,-66.25577
00952,18.42382,-66.18497
00953,18.3893,-66.24809
00954,18.39002,-66.24618
00955,18.4093,-66.06465
00956,18.17925,-66.11343
00957,18.17831,-66.11107
00958,18.17722,-66.11617
00959,18.17808,-66.11674
00960,18.18028,-66.11628
00961,18.18075,-66.11221
00962,18.44433,-66.1386
00963,18.44624,-66.14022
00965,18.38626,-66.11749
00966,18.38818,-66.11439
00968,18.38683,-66.11579
00969,18.38661,-66.11346
00970,18.38515,-66.11568
00971,18.38851,-66.11502
00975,18.41044,-66.0656
00976,18.36333,-66.01735
00977,18.36282,-66.01727
00978,18.36816,-66.01172
00979,18.40482,-65.97888
00981,18.40646,-65.97865
00982,18.40776,-65.97942
00983,18.40913,-65.9811
00984,18.4089,-65.98186
00985,18.40919,-65.98138
00986,18.40886,-65.98119
00987,18.41023,-65.97941
00988,18.40665,-65.98032
01001,42.07152,-72.62426
01002,42.37421,-72.5052
01003,42.40524,-72.52843
01004,42.38395,-72.51183
01005,42.43332,-72.11449
01007,42.28191,-72.40953
01008,42.14319,-72.93185
01009,42.20796,-72.34496
01010,42.12917,-72.19613
01011,42.28373,-72.9669
01012,42.38723,-72.83404
01013,42.1623,-72.60445
01014,42.17481,-72.57229
01020,42.1756,-72.56999
01021,42.17796,-72.57284
01022,42.19475,-72.56194
01026,42.40046,-72.84958
01027,42.27234,-72.69933
01028,42.06842,-72.50429
01029,42.15981,-73.04339
01030,42.07238,-72.67516
01031,42.31217,-72.20255
01032,42.44109,-72.80594
01033,42.25641,-72.51947
01034,42.07328,-72.89656
01035,42.35997,-72.57747
01036,42.06292,-72.43025
01037,42.3494,-72.20081
01038,42.3815,-72.60745
01039,42.37959,-72.69675
01040,42.20403,-72.63005
01041,42.20746,-72.61142
01050,42.27233,-72.86519
01053,42.35441,-72.70145
01054,42.47474,-72.4825
01056,42.17124,-72.4725
01057,42.09402,-72.32397
01059,42.41329,-72.53051
01060,42.32475,-72.65588
01061,42.32334,-72.69035
01062,42.33158,-72.69257
01063,42.31908,-72.64443
01066,42.41061,-72.62556
01068,42.34644,-72.04924
01069,42.16549,-72.3144
01070,42.53684,-72.93311
01071,42.17128,-72.86313
01072,42.46779,-72.42989
01073,42.22564,-72.72174
01074,42.38295,-72.10053
01075,42.23598,-72.5828
01077,42.05356,-72.77192
01079,42.1889,-72.32983
01080,42.18154,-72.37212
01081,42.0612,-72.22759
01082,42.26267,-72.26536
01083,42.21265,-72.19411
01084,42.40867,-72.88916
01085,42.13192,-72.74949
01086,42.14018,-72.75607
01088,42.38655,-72.63977
01089,42.11706,-72.6394
01090,42.12128,-72.65485
01092,42.20742,-72.23399
01093,42.43568,-72.64838
01094,42.34951,-72.1401
01095,42.12082,-72.44327
01096,42.3993,-72.74901
01097,42.16073,-72.8398
01098,42.30767,-72.87808
01101,42.09992,-72.58958
01102,42.11605,-72.53858
01103,42.10204,-72.58714
01104,42.12814,-72.57149
01105,42.10107,-72.57918
01106,42.05241,-72.56777
01107,42.12289,-72.60719
01108,42.08208,-72.55437
01109,42.11874,-72.5483
01111,42.11798,-72.5479
01114,42.10288,-72.59274
01115,42.10403,-72.59179
01116,42.04577,-72.57079
01118,42.09393,-72.5279
01119,42.12285,-72.50642
01128,42.09401,-72.49483
01129,42.12293,-72.48699
01133,42.10635,-72.59531
01138,42.0886,-72.56103
01139,42.11632,-72.54693
01144,42.10162,-72.59482
01151,42.151,-72.50645
01152,42.15279,-72.51126
01195,42.10286,-72.59212
01199,42.11915,-72.60341
01201,42.45545,-73.24999
01202,42.45789,-73.32204
01203,42.45319,-73.26279
01220,42.61998,-73.12078
01222,42.0564,-73.31879
01223,42.38131,-73.14371
01224,42.48929,-73.19556
01225,42.55516,-73.156
01226,42.46972,-73.16271
01227,42.4724,-73.16202
01229,42.28612,-73.34681
01230,42.20488,-73.36021
01235,42.43344,-73.10666
01236,42.25336,-73.36752
01237,42.51435,-73.24208
01238,42.31202,-73.24774
01240,42.36312,-73.27391
01242,42.33003,-73.2503
01243,42.34652,-73.00834
01244,42.11451,-73.26717
01245,42.20517,-73.22806
01247,42.69455,-73.1132
01252,42.1967,-73.43629
01253,42.1847,-73.09851
01254,42.40171,-73.34824
01255,42.11532,-73.12036
01256,42.5763,-73.03092
01257,42.07709,-73.39529
01258,42.12067,-73.47424
01259,42.06811,-73.28792
01260,42.28123,-73.27892
01262,42.30397,-73.31586
01263,42.28901,-73.31953
01264,42.24351,-73.20547
01266,42.33306,-73.38039
01267,42.69946,-73.21023
01270,42.3364,-73.25439
01301,42.60291,-72.59857
01302,42.65202,-72.60965
01330,42.52247,-72.78567
01331,42.58886,-72.22409
01337,42.66543,-72.53732
01338,42.59887,-72.74088
01339,42.63388,-72.87556
01340,42.7117,-72.71912
01341,42.51102,-72.6881
01342,42.55368,-72.58927
01343,42.6438,-72.98788
01344,42.60596,-72.41074
01346,42.68215,-72.83822
01347,42.55761,-72.51866
01349,42.57872,-72.49214
